album,track,raw_LUFS,raw_LRA,raw_true_peak_dBFS,raw_sample_peak,note
fable5/Big Weather,01 - First Light Freeway,-14.6,4.7,3.8,1.552491,
fable5/Big Weather,02 - Paper Kites,-15.3,8.6,3.2,1.418067,
fable5/Big Weather,03 - Run the Rooftops,-13.8,5.3,5.5,1.886194,
fable5/Big Weather,04 - Glass Anthem,-14.8,16.0,5.9,1.926963,
fable5/Big Weather,05 - Static & Sparks,-14.3,5.5,4.4,1.555556,
fable5/Big Weather,06 - Half Past Summer,-18.5,8.1,2.3,1.273216,
fable5/Big Weather,07 - The Getaway Choir,-16.3,11.6,2.6,1.338183,
fable5/Big Weather,08 - Neon Cathedral,-18.3,13.5,2.8,1.364144,
fable5/Big Weather,09 - Ten Thousand Watts,-13.6,4.0,4.5,1.634831,
fable5/Big Weather,10 - Big Weather,-14.0,13.1,4.1,1.602144,
fable5/Heliopause,"01 - Heliopause, Part One",-15.9,12.0,2.3,1.29513,
fable5/Heliopause,"02 - Heliopause, Part Two",-14.7,6.4,3.0,1.41317,
fable5/Hollow Hill,"01 - Hollow Hill, Part One",-17.8,19.1,1.8,1.236046,
fable5/Hollow Hill,"02 - Hollow Hill, Part Two",-17.2,18.7,2.1,1.265286,
fable5,The Iron Tide,-23.5,22.0,-4.5,0.586316,
fable5/Seven Kinds of Sunlight,01 - Seven Kinds of Sunlight,-15.8,7.0,3.1,1.413739,
fable5/Sub Rosa,01 - Sub Rosa,-13.9,12.5,2.8,1.365014,
fable5/The Burning Meridian,01 - The Muster,-18.8,10.2,2.6,1.349787,
fable5/The Burning Meridian,02 - Lanterns on the Water,-20.1,12.3,-4.4,0.599172,
fable5/The Burning Meridian,03 - Meridian,-17.5,7.0,2.1,1.264487,
fable5/The Ninth Bell,01 - The Ninth Bell,-16.3,22.8,0.9,1.113904,
fable5/The Signal Fire,01 - The Signal Fire,-17.7,17.8,2.8,1.377231,
fable5/Through Lines,01 - Five Fables,-17.8,21.0,2.1,1.276142,
fable5/Through Lines,02 - Scaling Laws,-18.5,16.4,-1.0,0.888162,
fable5/Through Lines,03 - Descent with Modification,-19.3,21.8,4.4,1.653651,
fable5/Through Lines,04 - Fault Lines,-16.4,11.0,2.6,1.338791,
fable5/Through Lines,05 - The 8.32,-18.9,13.7,0.3,1.029943,
fable5/Through Lines,"06 - Two Rooms, One Clock",-17.2,6.1,-0.6,0.937167,
fable5/Through Lines,07 - German Bight,-15.4,23.2,0.9,1.098109,
fable5/Through Lines,08 - Ten Metres of Air,-21.0,17.9,5.0,1.730749,
fable5/Through Lines,09 - Wirewalker,-18.6,6.1,-5.9,0.506189,
fable5/Through Lines,10 - Three-Sixty,-14.7,11.6,3.3,1.460826,
fable5/Through Lines,11 - Night Train to Tirana,-16.7,16.5,2.8,1.386846,
fable5/Through Lines,12 - Three Flights Up,-23.2,12.7,-3.4,0.673924,
fable5/Through Lines,13 - Bronze Water,-21.7,10.4,-2.8,0.721546,
fable5/Through Lines,14 - The Estuary Suite,-18.2,14.9,2.5,1.327494,
fable5/Through Lines,15 - Landing Lights,-38.3,15.9,-17.1,0.138354,
fable5/Through Lines,16 - Three-Sixty-One,-12.6,12.1,3.6,1.518299,
fable5/Tuxedo Noir,01 - Tuxedo Noir,-16.7,5.4,0.4,1.038131,
fable5/Winter Guests,"01 - Winter Guests, Part One",-20.1,17.2,0.8,1.101261,
fable5/Winter Guests,"02 - Winter Guests, Part Two",-14.6,16.4,3.5,1.501281,
gpt5-3-spark,01 - The Quiet Before Dawn,-37.7,9.7,-20.1,0.098483,
gpt5-3-spark,02 - Windowlit Water,-34.6,10.3,-17.2,0.138094,
gpt5-3-spark,03 - Letters in Winter Ink,-33.4,13.0,-16.4,0.151441,
gpt5-3-spark,04 - First Alarm,-29.0,9.7,-12.3,0.241068,
gpt5-3-spark,05 - A City of Small Fires,-31.6,10.2,-14.1,0.196988,
gpt5-3-spark,06 - Mercy of the Rail Line,-26.8,10.2,-10.4,0.302955,
gpt5-3-spark,07 - Midnight Engine,-31.4,10.7,-13.0,0.223778,
gpt5-3-spark,08 - A Door You Didn't Hear Close,-36.3,8.8,-19.8,0.102904,
gpt5-3-spark,09 - The Big Arc Begins,-27.9,9.8,-7.2,0.437635,
gpt5-3-spark,10 - Lightning Over Stone,-25.4,10.7,-3.6,0.653166,
gpt5-3-spark,11 - Chamber of Witness,-26.0,13.2,-7.7,0.41291,
gpt5-3-spark,"12 - After the Spark, You Return",-37.4,10.4,-19.8,0.101878,
gpt5-5/Hours After Rain,01 - The City Holds Its Breath,-35.3,11.3,-17.2,0.138058,
gpt5-5/Hours After Rain,02 - Glass on Wet Pavement,-31.2,9.7,-13.7,0.2029,
gpt5-5/Hours After Rain,03 - Mercy in Three Notes,-34.4,13.0,-17.3,0.135928,
gpt5-5/Hours After Rain,04 - A Door Left Open,-31.7,10.8,-14.6,0.186759,
gpt5-5/Hours After Rain,05 - Rooms That Remember Us,-34.7,11.0,-18.9,0.113886,
gpt5-5/Hours After Rain,06 - Red Line Fugue,-29.6,9.3,-12.4,0.238889,
gpt5-5/Hours After Rain,07 - A Quiet Arithmetic of Light,-31.5,14.0,-14.3,0.193481,
gpt5-5/Hours After Rain,08 - Newsprint Ashes,-32.8,12.1,-14.4,0.191526,
gpt5-5/Hours After Rain,09 - Borrowed Pulse,-30.8,11.0,-14.1,0.196259,
gpt5-5/Hours After Rain,10 - The Hour Before Dawn,-36.4,11.3,-19.5,0.105968,
gpt5-5/Hours After Rain,11 - No Witness Choir,-29.6,13.5,-12.3,0.243689,
gpt5-5/Hours After Rain,"12 - Last Train, Empty Platform",-37.4,11.2,-19.4,0.106652,
gpt5-5/The Long Turning,01 - The Long Turning,-27.8,11.5,-5.6,0.522675,
gpt5-6/Atlas of Becoming,01 - Tidal Geometry,-18.8,11.4,1.9,1.242186,
gpt5-6/Atlas of Becoming,02 - Wire and Wake,-16.3,7.9,4.6,1.509992,
