# source_date: 2026-07-22
# source_report: wrk_docs/2026.07.22 - M-CAL v3 reference-panel derivation report.md
# residual_db is anchor minus rendered ferro/reference gap; blank means unmeasurable.
# shipped_db lets comparisons remove intentional PROGRAM_TRIM_DB changes.
program,reference,residual_db,shipped_db,guard_excluded
0,sc55,-9.18,0.0,true
0,yxg,-4.64,0.0,true
1,sc55,-7.05,0.0,true
1,yxg,-7.04,0.0,true
2,sc55,-8.00,0.0,true
2,yxg,-1.21,0.0,true
3,sc55,-5.36,0.0,true
3,yxg,-5.09,0.0,true
4,sc55,+0.02,0.0,true
4,yxg,-3.21,0.0,false
5,sc55,+1.11,0.0,false
5,yxg,+1.84,0.0,false
6,sc55,-5.58,6.0,true
6,yxg,-3.12,6.0,true
7,sc55,+8.46,0.0,true
7,yxg,,0.0,true
8,sc55,+3.53,0.0,false
8,yxg,+2.76,0.0,false
9,sc55,-1.53,0.0,false
9,yxg,-6.38,0.0,false
10,sc55,+4.86,0.0,true
10,yxg,+7.38,0.0,true
11,sc55,+8.28,0.0,false
11,yxg,-2.55,0.0,false
12,sc55,-1.29,0.0,false
12,yxg,+0.16,0.0,false
13,sc55,+0.82,0.0,true
13,yxg,-6.53,0.0,true
14,sc55,-12.95,0.0,false
14,yxg,-12.62,0.0,false
15,sc55,-2.06,0.0,true
15,yxg,+7.91,0.0,false
16,sc55,-0.97,-4.5,false
16,yxg,-6.13,-4.5,false
17,sc55,+0.08,-3.0,false
17,yxg,-1.62,-3.0,false
18,sc55,+0.11,-1.5,false
18,yxg,+3.91,-1.5,false
19,sc55,-0.27,-6.0,false
19,yxg,+1.19,-6.0,false
20,sc55,+0.92,-3.0,false
20,yxg,+0.00,-3.0,false
21,sc55,-0.23,-5.0,false
21,yxg,-0.89,-5.0,false
22,sc55,+0.00,-1.0,false
22,yxg,-0.62,-1.0,false
23,sc55,+1.69,-4.5,false
23,yxg,+7.07,-4.5,false
24,sc55,,0.0,true
24,yxg,,0.0,true
25,sc55,+13.28,0.0,true
25,yxg,+9.90,0.0,true
26,sc55,,0.0,true
26,yxg,,0.0,true
27,sc55,,0.0,true
27,yxg,,0.0,true
28,sc55,,0.0,true
28,yxg,,0.0,true
29,sc55,+4.32,0.0,true
29,yxg,+1.68,0.0,true
30,sc55,,0.0,true
30,yxg,,0.0,true
31,sc55,,0.0,true
31,yxg,,0.0,true
32,sc55,+7.47,0.0,true
32,yxg,+8.58,0.0,true
33,sc55,-2.46,0.0,true
33,yxg,-1.14,0.0,true
34,sc55,+9.75,0.0,true
34,yxg,+11.89,0.0,true
35,sc55,+7.21,0.0,true
35,yxg,+6.85,0.0,true
36,sc55,+4.70,0.0,true
36,yxg,+3.67,0.0,true
37,sc55,,0.0,true
37,yxg,,0.0,true
38,sc55,-13.26,0.0,false
38,yxg,-5.64,0.0,true
39,sc55,-4.54,0.0,true
39,yxg,+1.77,0.0,true
40,sc55,-2.03,-4.0,false
40,yxg,-2.00,-4.0,false
41,sc55,-0.99,-4.0,false
41,yxg,-2.37,-4.0,false
42,sc55,-1.56,-3.5,true
42,yxg,-3.81,-3.5,false
43,sc55,-3.37,-6.0,true
43,yxg,-4.13,-6.0,true
44,sc55,-0.74,-4.0,false
44,yxg,-1.20,-4.0,false
45,sc55,+0.25,0.0,true
45,yxg,+6.52,0.0,true
46,sc55,+14.18,0.0,true
46,yxg,+11.44,0.0,true
47,sc55,-12.02,0.0,true
47,yxg,-7.92,0.0,true
48,sc55,+3.70,5.5,false
48,yxg,+2.81,5.5,false
49,sc55,+5.96,1.5,true
49,yxg,+7.78,1.5,false
50,sc55,+4.28,6.0,false
50,yxg,-0.78,6.0,false
51,sc55,+3.78,5.0,false
51,yxg,-2.64,5.0,false
52,sc55,+4.36,2.5,true
52,yxg,+2.20,2.5,true
53,sc55,-0.26,6.0,true
53,yxg,-2.08,6.0,true
54,sc55,+2.11,5.0,true
54,yxg,+3.28,5.0,true
55,sc55,,0.0,true
55,yxg,,0.0,true
56,sc55,-6.26,-6.0,false
56,yxg,-3.48,-6.0,true
57,sc55,-6.66,-6.0,false
57,yxg,-6.22,-6.0,false
58,sc55,-4.12,-6.0,true
58,yxg,-0.12,-6.0,true
59,sc55,-7.37,-2.0,true
59,yxg,-8.56,-2.0,true
60,sc55,-1.80,-3.0,true
60,yxg,-4.11,-3.0,false
61,sc55,-1.10,-2.0,false
61,yxg,+2.80,-2.0,true
62,sc55,+1.96,0.0,false
62,yxg,+3.54,0.0,false
63,sc55,+2.42,5.0,true
63,yxg,-4.21,5.0,false
64,sc55,-2.08,0.0,false
64,yxg,-0.16,0.0,false
65,sc55,+0.48,-2.5,false
65,yxg,+3.38,-2.5,false
66,sc55,-2.20,-3.0,false
66,yxg,-0.05,-3.0,false
67,sc55,-4.76,-3.0,false
67,yxg,-6.65,-3.0,false
68,sc55,-0.77,2.0,false
68,yxg,+1.00,2.0,false
69,sc55,-0.53,1.5,false
69,yxg,+2.97,1.5,false
70,sc55,-0.85,0.0,false
70,yxg,+3.04,0.0,false
71,sc55,+0.15,0.0,false
71,yxg,+3.06,0.0,false
72,sc55,+0.49,-4.0,false
72,yxg,+2.52,-4.0,false
73,sc55,+0.75,-4.0,true
73,yxg,+2.92,-4.0,true
74,sc55,-1.87,-2.0,false
74,yxg,+0.17,-2.0,false
75,sc55,-0.39,-5.0,false
75,yxg,+1.73,-5.0,false
76,sc55,-7.44,-6.0,true
76,yxg,-3.87,-6.0,false
77,sc55,-0.54,-6.0,true
77,yxg,+1.46,-6.0,false
78,sc55,+2.80,0.0,false
78,yxg,-5.95,0.0,false
79,sc55,-1.09,0.0,false
79,yxg,-5.90,0.0,false
80,sc55,-1.38,-4.0,false
80,yxg,-1.63,-4.0,true
81,sc55,+1.08,0.0,false
81,yxg,+1.21,0.0,false
82,sc55,-0.06,0.0,false
82,yxg,-7.36,0.0,false
83,sc55,-0.89,0.0,false
83,yxg,-4.35,0.0,false
84,sc55,-0.23,-2.0,false
84,yxg,+1.68,-2.0,false
85,sc55,+1.74,5.5,false
85,yxg,-1.87,5.5,false
86,sc55,+1.22,1.0,false
86,yxg,+0.63,1.0,false
87,sc55,+1.82,1.0,false
87,yxg,+4.86,1.0,false
88,sc55,+2.51,4.0,true
88,yxg,-4.57,4.0,false
